"species","decimalLongitude","decimalLatitude"
"Oeneis jutta",16.90932,60.4024
"Oeneis jutta",20.20776,63.86855
"Oeneis jutta",14.95411,59.40913
"Oeneis jutta",21.5239,64.41648
"Oeneis jutta",17.33012,66.17093
"Oeneis jutta",19.84822,64.06595
"Oeneis jutta",19.25947,65.28711
"Oeneis jutta",15.3388,59.6152
"Oeneis jutta",14.6351,63.2251
"Oeneis jutta",14.55254,61.27692
"Oeneis jutta",20.36444,63.79147
"Oeneis jutta",12.66695,62.67137
"Oeneis jutta",13.99734,59.83234
"Oeneis jutta",14.85244,59.36837
"Oeneis jutta",15.64932,62.27629
"Oeneis jutta",14.79313,59.34408
"Oeneis jutta",15.09061,59.5943
"Oeneis jutta",12.64882,60.92968
"Oeneis jutta",17.16301,59.97029
"Oeneis jutta",19.92216,67.02048
"Oeneis jutta",18.41221,65.85088
"Oeneis jutta",14.83123,59.32094
"Oeneis jutta",17.81407,60.31671
"Oeneis jutta",12.87711,62.66298
"Oeneis jutta",14.47947,61.24546
"Oeneis jutta",14.78896,61.38437
"Oeneis jutta",17.1608,59.97125
"Oeneis jutta",14.86173,60.22046
"Oeneis jutta",14.78725,61.38188
"Oeneis jutta",12.53498,63.3157
"Oeneis jutta",15.64493,62.61082
"Oeneis jutta",19.83555,63.62137
"Oeneis jutta",17.22839,60.65276
"Oeneis jutta",16.11479,59.68564
"Oeneis jutta",15.33466,63.45693
"Oeneis jutta",13.91209,60.5086
"Oeneis jutta",19.313,65.23744
"Oeneis jutta",15.69228,62.58598
"Oeneis jutta",15.92841,61.04176
"Oeneis jutta",19.46395,65.28649
"Oeneis jutta",12.66696,62.67264
"Oeneis jutta",15.20959,63.45772
"Oeneis jutta",12.65883,62.66854
"Oeneis jutta",20.38114,63.90302
"Oeneis jutta",15.35405,63.45948
"Oeneis jutta",12.56361,62.56838
"Oeneis jutta",19.67168,65.25662
"Oeneis jutta",19.45195,65.28612
"Oeneis jutta",15.33488,63.45712
